Year,Month,DOMESTIC,INTERNATIONAL,TOTAL
2002,10,585286,30956,616242
2002,11,612074,43840,655914
2002,12,718692,55888,774580
2003,1,657589,56240,713829
2003,2,659218,59876,719094
2003,3,746263,64551,810814
2003,4,690572,49483,740055
2003,5,619335,32980,652315
2003,6,611788,35449,647237
2003,7,672033,46524,718557
2003,8,666313,49277,715590
2003,9,512881,24929,537810
2003,10,663054,31578,694632
2003,11,693034,55752,748786
2003,12,785630,75893,861523
2004,1,720773,74667,795440
2004,2,784159,74087,858246
2004,3,871627,78748,950375
2004,4,835358,69750,905108
2004,5,723178,48495,771673
2004,6,714434,46174,760608
2004,7,778399,69420,847819
2004,8,749383,68401,817784
2004,9,472656,23063,495719
2004,10,755067,41705,796772
2004,11,795077,61761,856838
2004,12,912163,80085,992248
2005,1,855925,81422,937347
2005,2,865334,81419,946753
2005,3,1034783,108622,1143405
2005,4,866607,82815,949422
2005,5,806097,72207,878304
2005,6,788931,73728,862659
2005,7,860407,102549,962956
2005,8,757176,88460,845636
2005,9,606760,49628,656388
2005,10,577637,51815,629452
2005,11,779759,75661,855420
2005,12,862944,100837,963781
2006,1,829568,106392,935960
2006,2,802414,87752,890166
2006,3,945919,108824,1054743
2006,4,864155,98994,963149
2006,5,742550,73317,815867
2006,6,734217,90775,824992
2006,7,744800,95705,840505
2006,8,674660,86349,761009
2006,9,538036,48378,586414
2006,10,657544,58097,715641
2006,11,757462,82966,840428
2006,12,827314,104299,931613
2007,1,811457,105366,916823
2007,2,799206,107294,906500
2007,3,965776,119390,1085166
2007,4,860202,121291,981493
2007,5,786853,101150,888003
2007,6,783460,113390,896850
2007,7,824784,147538,972322
2007,8,791723,141097,932820
2007,9,590950,79764,670714
2007,10,711571,86140,797711
2007,11,810247,109502,919749
2007,12,903043,142292,1045335
2008,1,865828,141369,1007197
2008,2,874316,134222,1008538
2008,3,992461,151924,1144385
2008,4,863372,127224,990596
2008,5,824215,115933,940148
2008,6,778179,123989,902168
2008,7,826569,149427,975996
2008,8,743921,144734,888655
2008,9,506073,78267,584340
2008,10,656442,86730,743172
2008,11,699048,103728,802776
2008,12,839092,127549,966641
2009,1,756973,144297,901270
2009,2,732254,119567,851821
2009,3,827395,138126,965521
2009,4,767129,133764,900893
2009,5,700044,105185,805229
2009,6,692965,110210,803175
2009,7,770528,144051,914579
2009,8,720340,154034,874374
2009,9,548889,78005,626894
2009,10,674093,78843,752936
2009,11,725312,105773,831085
2009,12,854585,138814,993399
2010,1,787158,146287,933445
2010,2,737215,121557,858772
2010,3,918932,151547,1070479
2010,4,782353,125898,908251
2010,5,736845,118959,855804
2010,6,700754,115912,816666
2010,7,783832,160880,944712
2010,8,735530,166176,901706
2010,9,593996,107777,701773
2010,10,723383,114934,838317
2010,11,784461,128351,912812
2010,12,875418,166566,1041984
2011,1,813660,168685,982345
2011,2,802758,140679,943437
2011,3,971585,168876,1140461
2011,4,870218,158020,1028238
2011,5,787457,129483,916940
2011,6,765235,128143,893378
2011,7,828669,165968,994637
2011,8,739985,160681,900666
2011,9,601577,101770,703347
2011,10,724158,104687,828845
2011,11,786174,136419,922593
2011,12,896685,158216,1054901
2012,1,824163,156788,980951
2012,2,835523,147255,982778
2012,3,982520,163584,1146104
2012,4,835168,144195,979363
2012,5,773299,120828,894127
2012,6,770681,129945,900626
2012,7,829762,165847,995609
2012,8,763165,173000,936165
2012,9,619277,107853,727130
2012,10,717356,110603,827959
2012,11,812690,138769,951459
2012,12,918667,162809,1081476
2013,1,854541,165851,1020392
2013,2,833600,150985,984585
2013,3,1051338,180255,1231593
2013,4,821648,165451,987099
2013,5,804231,156258,960489
2013,6,773690,130315,904005
2013,7,807310,169012,976322
2013,8,759996,171578,931574
2013,9,573635,109104,682739
2013,10,703306,114151,817457
2013,11,763932,144957,908889
2013,12,932593,197678,1130271
2014,1,835660,198033,1033693
2014,2,810481,173006,983487
2014,3,985898,203513,1189411
2014,4,858627,185802,1044429
2014,5,780681,166043,946724
2014,6,765563,162219,927782
2014,7,814574,215308,1029882
2014,8,760494,216027,976521
2014,9,611174,144399,755573
2014,10,742766,164486,907252
2014,11,820237,184929,1005166
2014,12,977218,233916,1211134
2015,1,890818,249630,1140448
2015,2,874852,217405,1092257
2015,3,1041386,258658,1300044
2015,4,889263,220644,1109907
2015,5,845454,200652,1046106
2015,6,816949,199894,1016843
2015,7,891872,243218,1135090
2015,8,808467,242517,1050984
2015,9,663398,166564,829962
2015,10,797933,171546,969479
2015,11,902186,200940,1103126
2015,12,1060680,259155,1319835
2016,1,964649,257328,1221977
2016,2,964709,230438,1195147
2016,3,1140861,269636,1410497
2016,4,949295,229723,1179018
2016,5,912110,211750,1123860
2016,6,919803,222662,1142465
2016,7,961469,263646,1225115
2016,8,865923,273422,1139345
