Year,Month,DOMESTIC,INTERNATIONAL,TOTAL
2002,10,1000300,71596,1071896
2002,11,977092,59260,1036352
2002,12,1058336,66685,1125021
2003,1,968526,57903,1026429
2003,2,976675,68511,1045186
2003,3,1150254,74689,1224943
2003,4,1058770,69530,1128300
2003,5,1001554,67196,1068750
2003,6,1045121,61802,1106923
2003,7,1158372,82954,1241326
2003,8,1061542,75615,1137157
2003,9,791923,60370,852293
2003,10,1095975,76617,1172592
2003,11,1076397,70396,1146793
2003,12,1124664,70377,1195041
2004,1,1083817,67240,1151057
2004,2,1197559,76367,1273926
2004,3,1349535,88271,1437806
2004,4,1292157,85994,1378151
2004,5,1212449,74245,1286694
2004,6,1266988,79983,1346971
2004,7,1324141,97333,1421474
2004,8,1144235,83508,1227743
2004,9,768445,54992,823437
2004,10,1223952,81924,1305876
2004,11,1201863,72628,1274491
2004,12,1278608,79889,1358497
2005,1,1240128,74687,1314815
2005,2,1298780,82493,1381273
2005,3,1555571,103317,1658888
2005,4,1321996,90666,1412662
2005,5,1311929,80014,1391943
2005,6,1342847,82153,1425000
2005,7,1406645,99266,1505911
2005,8,1197031,84980,1282011
2005,9,1011578,63813,1075391
2005,10,1243900,87518,1331418
2005,11,1295780,80802,1376582
2005,12,1332553,95442,1427995
2006,1,1256122,77986,1334108
2006,2,1281746,91222,1372968
2006,3,1554578,106286,1660864
2006,4,1452184,99906,1552090
2006,5,1371603,77034,1448637
2006,6,1412044,74461,1486505
2006,7,1433347,99089,1532436
2006,8,1267426,86371,1353797
2006,9,1003990,61316,1065306
2006,10,1220216,79214,1299430
2006,11,1276559,80132,1356691
2006,12,1340070,99255,1439325
2007,1,1282296,76253,1358549
2007,2,1294624,90040,1384664
2007,3,1587758,105947,1693705
2007,4,1443785,98724,1542509
2007,5,1416623,79804,1496427
2007,6,1478191,78871,1557062
2007,7,1523063,99691,1622754
2007,8,1428792,92442,1521234
2007,9,1079786,62899,1142685
2007,10,1346786,89798,1436584
2007,11,1359571,99699,1459270
2007,12,1403504,113387,1516891
2008,1,1350767,98271,1449038
2008,2,1411261,115885,1527146
2008,3,1625798,139503,1765301
2008,4,1493334,126483,1619817
2008,5,1415392,96416,1511808
2008,6,1406568,88497,1495065
2008,7,1467768,112196,1579964
2008,8,1310018,111759,1421777
2008,9,928738,76396,1005134
2008,10,1234492,93802,1328294
2008,11,1141731,107935,1249666
2008,12,1315007,122334,1437341
2009,1,1177800,108811,1286611
2009,2,1201268,114429,1315697
2009,3,1427444,129029,1556473
2009,4,1363477,135051,1498528
2009,5,1267388,110874,1378262
2009,6,1285198,105982,1391180
2009,7,1386158,132591,1518749
2009,8,1262041,126720,1388761
2009,9,972845,89782,1062627
2009,10,1198158,119794,1317952
2009,11,1149522,116518,1266040
2009,12,1282792,137265,1420057
2010,1,1190284,117485,1307769
2010,2,1162061,120813,1282874
2010,3,1497340,145670,1643010
2010,4,1335794,139476,1475270
2010,5,1281233,124741,1405974
2010,6,1329413,121647,1451060
2010,7,1441777,149863,1591640
2010,8,1290964,133231,1424195
2010,9,1053328,105546,1158874
2010,10,1305146,130100,1435246
2010,11,1262800,103155,1365955
2010,12,1368096,140550,1508646
2011,1,1241719,120140,1361859
2011,2,1236622,132768,1369390
2011,3,1516495,144832,1661327
2011,4,1402753,158710,1561463
2011,5,1336382,117320,1453702
2011,6,1348189,125300,1473489
2011,7,1440914,164330,1605244
2011,8,1254865,154377,1409242
2011,9,1052380,124343,1176723
2011,10,1250297,150885,1401182
2011,11,1259571,138338,1397909
2011,12,1329557,160473,1490030
2012,1,1199137,139202,1338339
2012,2,1282145,146561,1428706
2012,3,1517695,181476,1699171
2012,4,1340944,166171,1507115
2012,5,1323517,143869,1467386
2012,6,1344350,141022,1485372
2012,7,1387058,174717,1561775
2012,8,1254074,163989,1418063
2012,9,1009668,128018,1137686
2012,10,1209487,148436,1357923
2012,11,1230701,145561,1376262
2012,12,1296616,175187,1471803
2013,1,1195831,156899,1352730
2013,2,1207268,155331,1362599
2013,3,1513944,193551,1707495
2013,4,1264639,168362,1433001
2013,5,1310767,169354,1480121
2013,6,1336146,143455,1479601
2013,7,1334898,179330,1514228
2013,8,1218216,172365,1390581
2013,9,967747,137715,1105462
2013,10,1204147,153908,1358055
2013,11,1184277,143545,1327822
2013,12,1343950,176507,1520457
2014,1,1179186,172814,1352000
2014,2,1203494,152895,1356389
2014,3,1465783,178277,1644060
2014,4,1302262,194342,1496604
2014,5,1292870,164461,1457331
2014,6,1310647,163935,1474582
2014,7,1373513,211004,1584517
2014,8,1228864,200249,1429113
2014,9,1028411,149551,1177962
2014,10,1241717,194287,1436004
2014,11,1226990,155084,1382074
2014,12,1409638,195432,1605070
2015,1,1277712,199434,1477146
2015,2,1270857,178657,1449514
2015,3,1586140,237075,1823215
2015,4,1391433,208837,1600270
2015,5,1359670,196749,1556419
2015,6,1377362,188660,1566022
2015,7,1459541,256010,1715551
2015,8,1298858,241714,1540572
2015,9,1122496,188949,1311445
2015,10,1332668,213880,1546548
2015,11,1376908,191974,1568882
2015,12,1545511,232177,1777688
2016,1,1408617,227857,1636474
2016,2,1418984,204997,1623981
2016,3,1728021,247218,1975239
2016,4,1506311,235574,1741885
2016,5,1469097,224343,1693440
2016,6,1502869,206760,1709629
2016,7,1564700,284648,1849348
2016,8,1372105,260241,1632346
