Year,Month,DOMESTIC,INTERNATIONAL,TOTAL
2002,10,545244,491530,1036774
2002,11,600750,517606,1118356
2002,12,720358,595866,1316224
2003,1,625662,614413,1240075
2003,2,610296,476670,1086966
2003,3,682967,539764,1222731
2003,4,616840,513793,1130633
2003,5,589435,485468,1074903
2003,6,584246,527870,1112116
2003,7,633957,668393,1302350
2003,8,593211,664864,1258075
2003,9,428950,447188,876138
2003,10,560280,482751,1043031
2003,11,625359,527928,1153287
2003,12,728970,593172,1322142
2004,1,635524,638687,1274211
2004,2,658101,524532,1182633
2004,3,729817,571585,1301402
2004,4,687667,552720,1240387
2004,5,622357,503852,1126209
2004,6,618151,550483,1168634
2004,7,671169,696075,1367244
2004,8,589291,667257,1256548
2004,9,387965,392361,780326
2004,10,568175,506240,1074415
2004,11,602726,527210,1129936
2004,12,704033,593665,1297698
2005,1,656642,655073,1311715
2005,2,631669,525210,1156879
2005,3,769336,639495,1408831
2005,4,657302,547829,1205131
2005,5,660860,527848,1188708
2005,6,678630,583580,1262210
2005,7,711932,721861,1433793
2005,8,593331,640434,1233765
2005,9,509568,467945,977513
2005,10,523411,452801,976212
2005,11,669557,525309,1194866
2005,12,761390,620845,1382235
2006,1,704155,657680,1361835
2006,2,685361,524409,1209770
2006,3,806007,616211,1422218
2006,4,740635,607555,1348190
2006,5,714910,544820,1259730
2006,6,720069,598076,1318145
2006,7,725331,721232,1446563
2006,8,619476,662817,1282293
2006,9,520409,497642,1018051
2006,10,621353,523131,1144484
2006,11,678927,557157,1236084
2006,12,749967,633132,1383099
2007,1,706756,659611,1366367
2007,2,687003,536494,1223497
2007,3,803782,636437,1440219
2007,4,728035,611587,1339622
2007,5,722394,571988,1294382
2007,6,719640,622623,1342263
2007,7,743652,748576,1492228
2007,8,693620,715586,1409206
2007,9,579088,549069,1128157
2007,10,673813,580163,1253976
2007,11,704785,600568,1305353
2007,12,744940,655757,1400697
2008,1,715245,672744,1387989
2008,2,695925,582577,1278502
2008,3,783752,672466,1456218
2008,4,705034,615828,1320862
2008,5,722708,607144,1329852
2008,6,705546,634112,1339658
2008,7,735949,752109,1488058
2008,8,673857,745145,1419002
2008,9,553977,543794,1097771
2008,10,668213,598983,1267196
2008,11,679101,613463,1292564
2008,12,765480,672887,1438367
2009,1,696728,682765,1379493
2009,2,666854,559788,1226642
2009,3,750696,622332,1373028
2009,4,720357,643577,1363934
2009,5,711498,566820,1278318
2009,6,700083,610557,1310640
2009,7,730178,750051,1480229
2009,8,672339,741236,1413575
2009,9,554931,532967,1087898
2009,10,652418,597596,1250014
2009,11,663521,597877,1261398
2009,12,766315,679601,1445916
2010,1,704853,703658,1408511
2010,2,658427,572715,1231142
2010,3,789759,685540,1475299
2010,4,719752,638445,1358197
2010,5,742883,626499,1369382
2010,6,725443,650289,1375732
2010,7,752308,802565,1554873
2010,8,696656,785347,1482003
2010,9,605530,573388,1178918
2010,10,711028,633058,1344086
2010,11,727188,645273,1372461
2010,12,822077,740193,1562270
2011,1,730386,738617,1469003
2011,2,720298,616239,1336537
2011,3,810846,729856,1540702
2011,4,759893,719233,1479126
2011,5,780396,675004,1455400
2011,6,776638,709321,1485959
2011,7,823574,868798,1692372
2011,8,728737,822805,1551542
2011,9,643899,641388,1285287
2011,10,732814,695171,1427985
2011,11,776217,710565,1486782
2011,12,866347,818962,1685309
2012,1,789623,812052,1601675
2012,2,772104,689354,1461458
2012,3,889292,815098,1704390
2012,4,789202,746982,1536184
2012,5,806346,699238,1505584
2012,6,798433,738195,1536628
2012,7,808413,896647,1705060
2012,8,726443,840738,1567181
2012,9,610862,666717,1277579
2012,10,692165,697708,1389873
2012,11,742565,754276,1496841
2012,12,838388,846899,1685287
2013,1,780427,846185,1626612
2013,2,742819,722854,1465673
2013,3,879413,864591,1744004
2013,4,741567,772509,1514076
2013,5,793170,772880,1566050
2013,6,784519,792310,1576829
2013,7,800241,930420,1730661
2013,8,750089,900953,1651042
2013,9,627680,694954,1322634
2013,10,731929,743662,1475591
2013,11,728945,766465,1495410
2013,12,888788,909156,1797944
2014,1,792203,900206,1692409
2014,2,755662,722577,1478239
2014,3,878503,808357,1686860
2014,4,796556,809273,1605829
2014,5,824439,746923,1571362
2014,6,794127,768787,1562914
2014,7,809573,921585,1731158
2014,8,755185,875980,1631165
2014,9,633652,670522,1304174
2014,10,738361,723069,1461430
2014,11,746870,759477,1506347
2014,12,915174,897602,1812776
2015,1,826060,913659,1739719
2015,2,805726,750805,1556531
2015,3,925748,844530,1770278
2015,4,861922,794973,1656895
2015,5,892258,771089,1663347
2015,6,873980,807381,1681361
2015,7,930602,980128,1910730
2015,8,869722,938030,1807752
2015,9,774373,731916,1506289
2015,10,877796,786100,1663896
2015,11,868245,798721,1666966
2015,12,997468,930321,1927789
2016,1,895657,916454,1812111
2016,2,867638,745547,1613185
2016,3,1003122,852121,1855243
2016,4,892830,766650,1659480
2016,5,937406,752228,1689634
2016,6,892564,791576,1684140
2016,7,932181,957479,1889660
2016,8,841530,897436,1738966
