YEAR,MONTH,R.USDX
1979,1,86.239
1979,2,87.082
1979,3,87.28
1979,4,88.228
1979,5,89.27
1979,6,89.457
1979,7,87.811
1979,8,88.261
1979,9,88.291
1979,10,89.181
1979,11,90.29
1979,12,89.588
1980,1,88.874
1980,2,89.674
1980,3,92.483
1980,4,93.206
1980,5,90.264
1980,6,88.923
1980,7,88.042
1980,8,88.758
1980,9,88.136
1980,10,88.309
1980,11,89.753
1980,12,90.621
1981,1,89.747
1981,2,92.14
1981,3,92.302
1981,4,93.886
1981,5,96.383
1981,6,98.347
1981,7,100.453
1981,8,101.942
1981,9,99.947
1981,10,99.181
1981,11,97.46
1981,12,97.197
1982,1,98.191
1982,2,100.965
1982,3,103.216
1982,4,103.7
1982,5,102.522
1982,6,106.916
1982,7,108.478
1982,8,110.309
1982,9,110.839
1982,10,110.974
1982,11,110.041
1982,12,107.047
1983,1,106.255
1983,2,107.158
1983,3,107.724
1983,4,109.066
1983,5,109.292
1983,6,110.775
1983,7,111.495
1983,8,113.021
1983,9,113.237
1983,10,112.013
1983,11,112.923
1983,12,113.845
1984,1,114.606
1984,2,113.532
1984,3,112.448
1984,4,113.381
1984,5,115.4
1984,6,116.2
1984,7,119.251
1984,8,119.549
1984,9,122.188
1984,10,123.264
1984,11,121.718
1984,12,123.401
1985,1,124.761
1985,2,128.033
1985,3,128.437
1985,4,125.096
1985,5,125.848
1985,6,124.942
1985,7,121.866
1985,8,121.365
1985,9,122.37
1985,10,117.813
1985,11,116.461
1985,12,115.79
1986,1,114.816
1986,2,111.414
1986,3,109.365
1986,4,108.382
1986,5,106.668
1986,6,107.658
1986,7,105.783
1986,8,104.454
1986,9,104.676
1986,10,104.769
1986,11,105.711
1986,12,105.049
1987,1,102.187
1987,2,101.257
1987,3,100.711
1987,4,98.666
1987,5,98.065
1987,6,99.141
1987,7,100.271
1987,8,99.863
1987,9,98.435
1987,10,98.11
1987,11,94.806
1987,12,92.37
1988,1,92.135
1988,2,92.515
1988,3,91.251
1988,4,90.493
1988,5,90.703
1988,6,91.803
1988,7,93.784
1988,8,94.586
1988,9,94.731
1988,10,92.648
1988,11,90.376
1988,12,89.847
1989,1,91.272
1989,2,91.425
1989,3,92.731
1989,4,93.091
1989,5,94.794
1989,6,96.225
1989,7,94.531
1989,8,94.746
1989,9,95.408
1989,10,94.065
1989,11,94.083
1989,12,93.175
1990,1,92.847
1990,2,92.967
1990,3,94.102
1990,4,94.007
1990,5,93.01
1990,6,93.307
1990,7,91.657
1990,8,90.248
1990,9,89.349
1990,10,87.59
1990,11,87.358
1990,12,88.232
1991,1,87.979
1991,2,86.881
1991,3,89.778
1991,4,90.746
1991,5,91.074
1991,6,92.212
1991,7,91.983
1991,8,91.005
1991,9,90
1991,10,89.316
1991,11,87.996
1991,12,87.176
1992,1,86.92
1992,2,87.994
1992,3,89.707
1992,4,89.179
1992,5,88.298
1992,6,87.141
1992,7,85.902
1992,8,85.408
1992,9,85.656
1992,10,87.32
1992,11,89.917
1992,12,89.983
1993,1,90.628
1993,2,90.712
1993,3,90.071
1993,4,88.28
1993,5,88.15
1993,6,88.394
1993,7,89.069
1993,8,88.662
1993,9,88.096
1993,10,88.767
1993,11,89.398
1993,12,89.314
1994,1,91.365
1994,2,90.817
1994,3,90.818
1994,4,90.681
1994,5,89.919
1994,6,89.607
1994,7,88.291
1994,8,88.032
1994,9,87.025
1994,10,86.31
1994,11,86.493
1994,12,88.125
1995,1,89.583
1995,2,88.908
1995,3,87.782
1995,4,84.756
1995,5,84.3
1995,6,84.234
1995,7,84.049
1995,8,85.928
1995,9,86.802
1995,10,86.684
1995,11,87.443
1995,12,87.673
1996,1,88.278
1996,2,88.187
1996,3,88.251
1996,4,88.27
1996,5,88.509
1996,6,88.787
1996,7,88.699
1996,8,88.099
1996,9,88.508
1996,10,88.977
1996,11,88.537
1996,12,89.086
1997,1,89.846
1997,2,91.393
1997,3,92.309
1997,4,92.665
1997,5,91.575
1997,6,91.135
1997,7,92.16
1997,8,93.711
1997,9,93.953
1997,10,94.614
1997,11,95.997
1997,12,99.362
1998,1,102.108
1998,2,100.39
1998,3,100.06
1998,4,99.785
1998,5,100.562
1998,6,102.727
1998,7,103.031
1998,8,104.641
1998,9,102.837
1998,10,99.946
1998,11,99.608
1998,12,98.711
1999,1,98.748
1999,2,99.998
1999,3,101.084
1999,4,100.957
1999,5,100.717
1999,6,101.142
1999,7,101.375
1999,8,100.43
1999,9,100.016
1999,10,99.511
1999,11,99.846
1999,12,99.938
2000,1,99.847
2000,2,101.248
2000,3,101.724
2000,4,102.255
2000,5,104.535
2000,6,103.64
2000,7,103.874
2000,8,104.395
2000,9,105.879
2000,10,107.345
2000,11,108
2000,12,107.129
2001,1,107.456
2001,2,108.298
2001,3,109.884
2001,4,110.48
2001,5,110.565
2001,6,111.382
2001,7,111.489
2001,8,109.546
2001,9,110.148
2001,10,110.497
2001,11,111.009
2001,12,110.935
2002,1,112.152
2002,2,112.814
2002,3,112.23
2002,4,112.013
2002,5,110.574
2002,6,109.136
2002,7,107.533
2002,8,108.872
2002,9,109.708
2002,10,110.48
2002,11,109.27
2002,12,108.671
2003,1,107.34
2003,2,107.499
2003,3,106.99
2003,4,105.79
2003,5,102.282
2003,6,101.783
2003,7,103.015
2003,8,104.413
2003,9,103.334
2003,10,100.993
2003,11,100.626
2003,12,99.255
2004,1,97.766
2004,2,98.389
2004,3,99.297
2004,4,99.879
2004,5,101.657
2004,6,100.81
2004,7,100.011
2004,8,100.005
2004,9,99.719
2004,10,98.533
2004,11,96.338
2004,12,95.188
2005,1,95.556
2005,2,95.822
2005,3,95.429
2005,4,96.36
2005,5,96.616
2005,6,97.485
2005,7,98.142
2005,8,97.318
2005,9,98.202
2005,10,99.08
2005,11,99.219
2005,12,98.412
2006,1,97.266
2006,2,97.47
2006,3,97.656
2006,4,97.165
2006,5,95.244
2006,6,96.49
2006,7,96.654
2006,8,96.224
2006,9,95.902
2006,10,95.625
2006,11,94.642
2006,12,94.026
2007,1,94.952
2007,2,94.796
2007,3,94.538
2007,4,93.412
2007,5,92.749
2007,6,92.484
2007,7,91.116
2007,8,91.328
2007,9,90.245
2007,10,88.296
2007,11,87.255
2007,12,87.886
2008,1,87.215
2008,2,86.154
2008,3,84.467
2008,4,84.022
2008,5,84.382
2008,6,84.868
2008,7,84.478
2008,8,86.557
2008,9,88.673
2008,10,93.737
2008,11,94.568
2008,12,93.066
2009,1,93.852
2009,2,96.477
2009,3,96.671
2009,4,94.276
2009,5,91.539
2009,6,90.923
2009,7,90.52
2009,8,89.47
2009,9,88.833
2009,10,87.668
2009,11,87.223
2009,12,87.443
2010,1,87.465
2010,2,88.449
2010,3,87.556
2010,4,86.945
2010,5,89.137
2010,6,89.49
2010,7,88.037
2010,8,87.287
2010,9,86.342
2010,10,83.957
2010,11,84
2010,12,84.623
2011,1,83.596
2011,2,83.007
2011,3,82.306
2011,4,81.015
2011,5,81.036
2011,6,80.829
2011,7,80.264
2011,8,80.821
2011,9,83.207
2011,10,83.756
2011,11,84.272
2011,12,84.95
2012,1,84.293
2012,2,83.026
2012,3,83.377
2012,4,83.581
2012,5,84.801
2012,6,85.902
2012,7,85.388
2012,8,84.854
2012,9,83.706
2012,10,83.495
2012,11,83.775
2012,12,83.067
2013,1,82.934
2013,2,83.824
2013,3,84.215
2013,4,83.612
2013,5,83.916
2013,6,84.528
2013,7,84.994
2013,8,84.886
2013,9,84.572
2013,10,83.605
2013,11,84.258
2013,12,84.425
2014,1,85.247
2014,2,85.417
2014,3,85.278
2014,4,84.862
2014,5,84.514
2014,6,84.548
2014,7,84.356
2014,8,84.942
2014,9,86.168
2014,10,87.14
2014,11,88.4
2014,12,90.127
2015,1,91.703
2015,2,92.847
2015,3,94.455
2015,4,93.483
2015,5,92.807
2015,6,93.525
2015,7,95.147
2015,8,96.715
2015,9,97.334
2015,10,96.41
2015,11,97.864
2015,12,98.579
2016,1,100.897
2016,2,99.574
2016,3,97.498
2016,4,96.129
2016,5,97.13
2016,6,97.472
2016,7,98.033
2016,8,97.236
2016,9,98.054
2016,10,98.962
2016,11,101.269
2016,12,102.839
